agent_id,status,identity_confidence,agent_first_seen_at
AGT0000815,ACTIVE,LOW_SNAPSHOT_ONLY,2026-01-01 23:05:00
AGT0000606,SUSPENDED,LOW_SNAPSHOT_ONLY,2026-01-01 21:12:19
AGT0000684,INACTIVE,LOW_SNAPSHOT_ONLY,2026-01-03 21:24:11
AGT0000211,INACTIVE,LOW_SNAPSHOT_ONLY,2026-01-02 00:13:06
AGT0000781,ACTIVE,LOW_SNAPSHOT_ONLY,2026-01-02 21:21:56
AGT0000659,SUSPENDED,LOW_SNAPSHOT_ONLY,2026-01-01 05:39:36
AGT0000106,INACTIVE,LOW_SNAPSHOT_ONLY,2026-01-01 10:45:05
AGT0000096,SUSPENDED,LOW_SNAPSHOT_ONLY,2026-01-02 16:29:16
AGT0000461,INACTIVE,LOW_SNAPSHOT_ONLY,2026-01-02 00:13:52
AGT0000404,SUSPENDED,LOW_SNAPSHOT_ONLY,2026-01-08 17:50:50
AGT0000196,SUSPENDED,LOW_SNAPSHOT_ONLY,2026-01-03 22:11:55
AGT0000520,INACTIVE,LOW_SNAPSHOT_ONLY,2026-01-08 11:25:46
AGT0000898,INACTIVE,LOW_SNAPSHOT_ONLY,2026-01-01 05:08:35
AGT0000805,ACTIVE,LOW_SNAPSHOT_ONLY,2026-01-06 20:44:52
AGT0000510,INACTIVE,LOW_SNAPSHOT_ONLY,2026-01-03 15:13:55
AGT0000255,SUSPENDED,LOW_SNAPSHOT_ONLY,2026-01-02 09:46:40
AGT0000484,INACTIVE,LOW_SNAPSHOT_ONLY,2025-12-29 06:52:37
AGT0000451,INACTIVE,LOW_SNAPSHOT_ONLY,2026-01-01 07:33:52
AGT0000851,SUSPENDED,LOW_SNAPSHOT_ONLY,2026-01-05 05:41:44
AGT0000204,SUSPENDED,LOW_SNAPSHOT_ONLY,2026-01-01 13:15:33
AGT0000087,SUSPENDED,LOW_SNAPSHOT_ONLY,2026-01-02 14:37:12
AGT0000201,ACTIVE,LOW_SNAPSHOT_ONLY,2026-01-02 05:06:05
AGT0000434,SUSPENDED,LOW_SNAPSHOT_ONLY,2026-01-01 15:52:57
AGT0000473,ACTIVE,LOW_SNAPSHOT_ONLY,2026-01-02 03:46:10
AGT0000421,SUSPENDED,LOW_SNAPSHOT_ONLY,2026-01-02 01:55:12
AGT0000348,ACTIVE,LOW_SNAPSHOT_ONLY,2026-01-01 11:22:26
AGT0000025,INACTIVE,LOW_SNAPSHOT_ONLY,2026-01-01 01:03:06
AGT0000190,SUSPENDED,LOW_SNAPSHOT_ONLY,2026-01-12 18:44:10
AGT0000010,SUSPENDED,LOW_SNAPSHOT_ONLY,2026-01-04 15:10:07
AGT0000838,INACTIVE,LOW_SNAPSHOT_ONLY,2026-01-01 18:35:28
AGT0000764,INACTIVE,LOW_SNAPSHOT_ONLY,2026-01-01 08:57:42
AGT0000288,ACTIVE,LOW_SNAPSHOT_ONLY,2026-01-02 07:59:49
AGT0000075,INACTIVE,LOW_SNAPSHOT_ONLY,2026-01-04 01:42:40
AGT0000444,INACTIVE,LOW_SNAPSHOT_ONLY,2026-01-01 19:58:16
AGT0000313,INACTIVE,LOW_SNAPSHOT_ONLY,2026-01-04 16:02:11
AGT0000164,SUSPENDED,LOW_SNAPSHOT_ONLY,2026-01-02 01:13:14
AGT0000700,ACTIVE,LOW_SNAPSHOT_ONLY,2026-01-01 10:22:03
AGT0000834,INACTIVE,LOW_SNAPSHOT_ONLY,2026-01-03 14:09:38
AGT0000953,SUSPENDED,LOW_SNAPSHOT_ONLY,2026-01-01 01:36:44
AGT0000485,SUSPENDED,LOW_SNAPSHOT_ONLY,2026-01-07 02:36:56
AGT0000535,SUSPENDED,LOW_SNAPSHOT_ONLY,2026-01-01 23:13:55
AGT0000036,SUSPENDED,LOW_SNAPSHOT_ONLY,2026-01-01 19:57:55
AGT0000021,SUSPENDED,LOW_SNAPSHOT_ONLY,2026-01-02 17:29:33
AGT0000467,INACTIVE,LOW_SNAPSHOT_ONLY,2026-01-06 02:10:28
AGT0000452,ACTIVE,LOW_SNAPSHOT_ONLY,2026-01-03 00:57:18
AGT0000816,INACTIVE,LOW_SNAPSHOT_ONLY,2026-01-01 02:32:31
AGT0000264,ACTIVE,LOW_SNAPSHOT_ONLY,2026-01-01 08:39:55
AGT0000374,SUSPENDED,LOW_SNAPSHOT_ONLY,2026-01-06 12:36:53
AGT0000261,INACTIVE,LOW_SNAPSHOT_ONLY,2026-01-02 09:29:26
